well_id,well_name,well_canonical,well_aliases,field,campaign_code,campaign_id,well_sequence_in_campaign,well_order_label,well_order_basis,well_order_note,status,region,operator,include_for_estimator,include_for_well_training,training_note
AWI 9-10,AWI 9-10,AWI 9-10,"[""AWI 9-10"", ""AWI 9-10RD""]",SALAK,E540-30101-D20001,SALAK_2021,,,,,in_scope_estimator,,,yes,yes,
AWI 2-6,AWI 2-6,AWI 2-6,"[""AWI 2-6""]",SALAK,E540-30101-D245401,SALAK_2025_2026,7,well_7,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.,in_scope_estimator,,,yes,yes,
AWI 2-7 ML,AWI 2-7 ML,AWI 2-7 ML,"[""AWI 2-7 ML""]",SALAK,E540-30101-D245401,SALAK_2025_2026,6,well_6,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.,in_scope_estimator,,,yes,yes,
AWI 21-7,AWI 21-7,AWI 21-7,"[""AWI 21-7""]",SALAK,E540-30101-D245401,SALAK_2025_2026,2,well_2,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.,in_scope_estimator,,,yes,yes,
AWI 21-8,AWI 21-8,AWI 21-8,"[""AWI 21-8""]",SALAK,E540-30101-D245401,SALAK_2025_2026,1,well_1,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.,in_scope_estimator,,,yes,yes,
AWI 23-1,AWI 23-1,AWI 23-1,"[""AWI 23-1""]",SALAK,E540-30101-D245401,SALAK_2025_2026,4,well_4,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.,in_scope_estimator,,,yes,yes,
AWI 23-2,AWI 23-2,AWI 23-2,"[""AWI 23-2""]",SALAK,E540-30101-D245401,SALAK_2025_2026,5,well_5,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.,in_scope_estimator,,,yes,yes,
AWI 3-9,AWI 3-9,AWI 3-9,"[""AWI 3-9""]",SALAK,E540-30101-D245401,SALAK_2025_2026,3,well_3,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.,in_scope_estimator,,,yes,yes,
AWI 9-10 RD,AWI 9-10 RD,AWI 9-10 RD,"[""AWI 9-10 RD"", ""AWI 9-10RD""]",SALAK,E540-30101-D245401,SALAK_2025_2026,,,,,in_scope_estimator,,,yes,yes,
AWI 9-11,AWI 9-11,AWI 9-11,"[""AWI 9-11""]",SALAK,E540-30101-D245401,SALAK_2025_2026,8,well_8,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.,in_scope_estimator,,,yes,yes,
