field,wbs_lvl2,wbs_lvl3,wbs_lvl4,wbs_lvl5,classification,sample_size,cost_total,cost_mean,cost_median,cost_p10,cost_p90,cost_min,cost_max
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040214-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040215-D225301,well_tied,1,92633.31,92633.31,92633.31,92633.31,92633.31,92633.31,92633.31
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040216-D225301,well_tied,1,89256.93,89256.93,89256.93,89256.93,89256.93,89256.93,89256.93
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040217-D225301,well_tied,1,12170.25,12170.25,12170.25,12170.25,12170.25,12170.25,12170.25
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040220-D225301,well_tied,1,15440.29,15440.29,15440.29,15440.29,15440.29,15440.29,15440.29
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040224-D225301,well_tied,1,40807.21,40807.21,40807.21,40807.21,40807.21,40807.21,40807.21
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040247-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040294-D225301,well_tied,1,33042.43,33042.43,33042.43,33042.43,33042.43,33042.43,33042.43
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040295-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040296-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040297-D225301,well_tied,1,16005.34,16005.34,16005.34,16005.34,16005.34,16005.34,16005.34
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040298-D225301,well_tied,1,88305.13,88305.13,88305.13,88305.13,88305.13,88305.13,88305.13
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010461-D225301,E530-30101046101-D225301,well_tied,1,414603.22,414603.22,414603.22,414603.22,414603.22,414603.22,414603.22
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010461-D225301,E530-30101046102-D225301,well_tied,1,52635.16,52635.16,52635.16,52635.16,52635.16,52635.16,52635.16
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010461-D225301,E530-30101046118-D225301,well_tied,1,473986.83,473986.83,473986.83,473986.83,473986.83,473986.83,473986.83
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010461-D225301,E530-30101046193-D225301,well_tied,1,31535.17,31535.17,31535.17,31535.17,31535.17,31535.17,31535.17
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010501-D225301,E530-30101050160-D225301,well_tied,1,7653.56,7653.56,7653.56,7653.56,7653.56,7653.56,7653.56
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050204-D225301,well_tied,1,999.0,999.0,999.0,999.0,999.0,999.0,999.0
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050205-D225301,well_tied,1,867517.38,867517.38,867517.38,867517.38,867517.38,867517.38,867517.38
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050207-D225301,well_tied,1,319451.08,319451.08,319451.08,319451.08,319451.08,319451.08,319451.08
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050208-D225301,well_tied,1,60128.0,60128.0,60128.0,60128.0,60128.0,60128.0,60128.0
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050209-D225301,well_tied,1,798979.46,798979.46,798979.46,798979.46,798979.46,798979.46,798979.46
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050210-D225301,well_tied,1,348618.99,348618.99,348618.99,348618.99,348618.99,348618.99,348618.99
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050211-D225301,well_tied,1,34670.49,34670.49,34670.49,34670.49,34670.49,34670.49,34670.49
