classification_key,source_row_id,field,campaign_raw,campaign_canonical,campaign_start_year,campaign_code,well_raw,well_canonical,mapping_method,mapping_confidence,mapping_source,l0_id,l0_desc,l1_id,l1_desc,l2_id,l2_desc,l3_id,l3_desc,l4_id,l4_desc,l5_id,l5_desc,wbs_family_tag,family_group_key,classification,driver_family,budget_usd,release_usd,released_usd,committed_usd,actual_usd,source_sheet,source_workbook,source_field_campaign_year
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037409-D245401|E540-30203740960-D245401,519fbba7b5265313,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,well_9,AWI 9-10,ordered_label_map,high,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020374-D245401,E540-3020374-D245401,E540-302037409-D245401,E540-302037409-D245401,E540-30203740960-D245401,Material,Material,material,well_tied,well_scope,0,0,0,0,0.000000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037409-D245401|E540-30203740903-D245401,aa11938743df9ef4,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,well_9,AWI 9-10,ordered_label_map,high,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020374-D245401,E540-3020374-D245401,E540-302037409-D245401,E540-302037409-D245401,E540-30203740903-D245401,Service,Service,service,well_tied,well_scope,0,0,0,0,0.000000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037408-D245401|E540-30203740860-D245401,be73129ed9e51130,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,well_8,AWI 9-11,ordered_label_map,high,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020374-D245401,E540-3020374-D245401,E540-302037408-D245401,E540-302037408-D245401,E540-30203740860-D245401,Material,Material,material,well_tied,well_scope,0,0,0,0,0.000000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037408-D245401|E540-30203740803-D245401,3664ae21b332f18e,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,well_8,AWI 9-11,ordered_label_map,high,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020374-D245401,E540-3020374-D245401,E540-302037408-D245401,E540-302037408-D245401,E540-30203740803-D245401,Service,Service,service,well_tied,well_scope,0,0,0,0,0.000000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037407-D245401|E540-30203740760-D245401,20d5629d534b145a,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,well_7,AWI 2-6,ordered_label_map,high,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020374-D245401,E540-3020374-D245401,E540-302037407-D245401,E540-302037407-D245401,E540-30203740760-D245401,Material,Material,material,well_tied,well_scope,0,0,0,0,0.000000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037407-D245401|E540-30203740703-D245401,c6a6a9e56568d60a,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,well_7,AWI 2-6,ordered_label_map,high,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020374-D245401,E540-3020374-D245401,E540-302037407-D245401,E540-302037407-D245401,E540-30203740703-D245401,Service,Service,service,well_tied,well_scope,0,0,0,0,0.000000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037406-D245401|E540-30203740660-D245401,2beb94ea30072008,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,well_6,AWI 2-7 ML,ordered_label_map,high,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020374-D245401,E540-3020374-D245401,E540-302037406-D245401,E540-302037406-D245401,E540-30203740660-D245401,Material,Material,material,well_tied,well_scope,0,0,0,0,67824.480000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037406-D245401|E540-30203740603-D245401,b731ee7747eb419c,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,well_6,AWI 2-7 ML,ordered_label_map,high,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020374-D245401,E540-3020374-D245401,E540-302037406-D245401,E540-302037406-D245401,E540-30203740603-D245401,Service,Service,service,well_tied,well_scope,0,0,0,0,220191.090000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037405-D245401|E540-30203740560-D245401,a79eec22651f4f7c,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,well_5,AWI 23-2,ordered_label_map,high,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020374-D245401,E540-3020374-D245401,E540-302037405-D245401,E540-302037405-D245401,E540-30203740560-D245401,Material,Material,material,well_tied,well_scope,0,0,0,0,131596.880000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037405-D245401|E540-30203740503-D245401,5f1d6eac6bf4ece4,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,well_5,AWI 23-2,ordered_label_map,high,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020374-D245401,E540-3020374-D245401,E540-302037405-D245401,E540-302037405-D245401,E540-30203740503-D245401,Service,Service,service,well_tied,well_scope,0,0,0,0,198917.390000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
