classification_key,field,wbs_lvl5,wbs_family_tag,reason_for_review,approval_status,observed_patterns,supporting_row_count,supporting_cost_total,proposed_classification,driver_family
SALAK|E540-30101-D245401|E540-3010102-D245401|E540-301010261-D245401|E540-30101026101-D245401,SALAK,E540-30101026101-D245401,Casing,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,725447.720000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010103-D245401|E540-301010302-D245401|E540-30101030205-D245401,SALAK,E540-30101030205-D245401,Contract Rig,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,555095.700000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010104-D245401|E540-301010402-D245401|E540-30101040212-D245401,SALAK,E540-30101040212-D245401,"Cement, Cementing & Pump Fees",material_threshold,approved_auto,R1_DICT_WELL_TAG,1,687821.170000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010104-D245401|E540-301010402-D245401|E540-30101040245-D245401,SALAK,E540-30101040245-D245401,Drilling Rig O&M,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,658713.310000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010104-D245401|E540-301010461-D245401|E540-30101046101-D245401,SALAK,E540-30101046101-D245401,Casing,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,1054232.960000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010106-D245401|E540-301010602-D245401|E540-30101060205-D245401,SALAK,E540-30101060205-D245401,Contract Rig,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,586102.570000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010106-D245401|E540-301010602-D245401|E540-30101060245-D245401,SALAK,E540-30101060245-D245401,Drilling Rig O&M,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,553353.440000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010106-D245401|E540-301010661-D245401|E540-30101066101-D245401,SALAK,E540-30101066101-D245401,Casing,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,592905.890000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010108-D245401|E540-301010802-D245401|E540-30101080212-D245401,SALAK,E540-30101080212-D245401,"Cement, Cementing & Pump Fees",material_threshold,approved_auto,R1_DICT_WELL_TAG,1,556572.630000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010108-D245401|E540-301010802-D245401|E540-30101080245-D245401,SALAK,E540-30101080245-D245401,Drilling Rig O&M,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,535788.290000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010108-D245401|E540-301010861-D245401|E540-30101086101-D245401,SALAK,E540-30101086101-D245401,Casing,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,965451.400000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010156-D245401|E540-301015601-D245401|E540-30101560123-D245401,SALAK,E540-30101560123-D245401,Rig Move,material_threshold,approved_policy,R2_POLICY_P010,1,830091.900000,hybrid,interpad_move_count
SALAK|E540-30101-D245401|E540-3010156-D245401|E540-301015603-D245401|E540-30101560323-D245401,SALAK,E540-30101560323-D245401,Rig Move,material_threshold,approved_policy,R2_POLICY_P010,1,510117.080000,hybrid,interpad_move_count
SALAK|E540-30101-D245401|E540-3010169-D245401|E540-301016903-D245401|E540-30101690306-D245401,SALAK,E540-30101690306-D245401,Rig Mobilization,material_threshold,approved_policy,R2_POLICY_P012,1,2472778.980000,campaign_tied,campaign_logistics
