classification_key,field,wbs_code_lv5,wbs_lvl5,wbs_family_tag,example_wbs_label,supporting_cost_total,estimation_class,driver_family,well_estimation_use,campaign_estimation_use,approval_status,approval_basis,approval_notes
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020296-D225301,DARAJAT,E530-30101020296-D225301,E530-30101020296-D225301,Vehicle Inspection,Vehicle Inspection 14-2,0.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P054,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020297-D225301,DARAJAT,E530-30101020297-D225301,E530-30101020297-D225301,Welding Service,Welding Services 14-2,7619.820000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P055,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020298-D225301,DARAJAT,E530-30101020298-D225301,E530-30101020298-D225301,API non API Machine Shop Service,API non API Machine Shop Services 14-2,55784.640000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P031,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010261-D225301|E530-30101026101-D225301,DARAJAT,E530-30101026101-D225301,E530-30101026101-D225301,Casing,Casing 14-2,319725.930000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010261-D225301|E530-30101026102-D225301,DARAJAT,E530-30101026102-D225301,E530-30101026102-D225301,Well Equipment Surface,Well Equip. Surface 14-2,55296.040000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010261-D225301|E530-30101026118-D225301,DARAJAT,E530-30101026118-D225301,E530-30101026118-D225301,Fuel & Lubricants,Fuel & Lubricants 14-2,587193.810000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag. Material item above USD 500k; included in the material review queue.
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010261-D225301|E530-30101026193-D225301,DARAJAT,E530-30101026193-D225301,E530-30101026193-D225301,Asset Transfer,Asset Transfer 14-2,21580.530000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010301-D225301|E530-30101030160-D225301,DARAJAT,E530-30101030160-D225301,E530-30101030160-D225301,Consumables,Consumables 20-1,26370.440000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030204-D225301,DARAJAT,E530-30101030204-D225301,E530-30101030204-D225301,Service Lines & Communication,Service Lines & Comm 20-1,974.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P052,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030205-D225301,DARAJAT,E530-30101030205-D225301,E530-30101030205-D225301,Contract Rig,Contract Rig 20-1,838855.140000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P035,curated_well_scope Material item above USD 500k; included in the material review queue.
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030207-D225301,DARAJAT,E530-30101030207-D225301,E530-30101030207-D225301,"Mud, Chemical and Engineering Service","Mud, Chemical and Eng Serv 20-1",305156.590000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P046,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030208-D225301,DARAJAT,E530-30101030208-D225301,E530-30101030208-D225301,"Bits, Reamer and Core heads","Bits, Reamer and Core heads 20-1",151482.500000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P032,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030209-D225301,DARAJAT,E530-30101030209-D225301,E530-30101030209-D225301,Equipment Rental,Equipment Rental 20-1,475803.330000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P039,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030210-D225301,DARAJAT,E530-30101030210-D225301,E530-30101030210-D225301,Directional Drilling & Surveys,Directional Drilling & Surveys 20-1,415437.950000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P037,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030211-D225301,DARAJAT,E530-30101030211-D225301,E530-30101030211-D225301,Casing Installation,Casing Installation 20-1,53644.740000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P033,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030212-D225301,DARAJAT,E530-30101030212-D225301,E530-30101030212-D225301,"Cement, Cementing & Pump Fees","Cement, Cementing & Pump Fees 20-1",415221.410000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P034,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030213-D225301,DARAJAT,E530-30101030213-D225301,E530-30101030213-D225301,Mud Logging Service,Mud Logging Service 20-1,29229.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P045,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030214-D225301,DARAJAT,E530-30101030214-D225301,E530-30101030214-D225301,Open Hole Electrical Logging Service,Open Hole Electrical Logging Services 20-1,35818.980000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P048,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030215-D225301,DARAJAT,E530-30101030215-D225301,E530-30101030215-D225301,Supervision,Supervision 20-1,85446.680000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P053,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030216-D225301,DARAJAT,E530-30101030216-D225301,E530-30101030216-D225301,Land Transportation,Land Transportation 20-1,66927.070000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P042,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030217-D225301,DARAJAT,E530-30101030217-D225301,E530-30101030217-D225301,Other Transportation,Other Transportation 20-1,16468.120000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P049,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030220-D225301,DARAJAT,E530-30101030220-D225301,E530-30101030220-D225301,"Drilling Safety, Health & Environment","Drilling Safety, Health & Enviro 20-1",12880.890000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P038,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030224-D225301,DARAJAT,E530-30101030224-D225301,E530-30101030224-D225301,Explosive Handling & Permitting,Explosive Handling & Permitting 20-1,41017.020000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P041,curated_well_scope
