classification_key,field,wbs_lvl4,wbs_lvl5,supporting_cost_total,suggested_tag,suggestion_basis
SALAK|E540-30101-D245401|E540-3010161-D245401|E540-301016102-D245401|E540-30101610223-D245401,SALAK,E540-301016102-D245401,E540-30101610223-D245401,65544.910000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010214-D225301,DARAJAT,E530-301010102-D225301,E530-30101010214-D225301,64482.040000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030294-D225301,DARAJAT,E530-301010302-D225301,E530-30101030294-D225301,62912.890000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020215-D225301,DARAJAT,E530-301010202-D225301,E530-30101020215-D225301,60329.680000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050208-D225301,DARAJAT,E530-301010502-D225301,E530-30101050208-D225301,60128.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050294-D225301,DARAJAT,E530-301010502-D225301,E530-30101050294-D225301,56043.990000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020298-D225301,DARAJAT,E530-301010202-D225301,E530-30101020298-D225301,55784.640000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012977-D225301|E530-301297758-D225301|E530-30129775816-D225301,DARAJAT,E530-301297758-D225301,E530-30129775816-D225301,55128.710000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010298-D225301,DARAJAT,E530-301010102-D225301,E530-30101010298-D225301,54349.720000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030211-D225301,DARAJAT,E530-301010302-D225301,E530-30101030211-D225301,53644.740000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050298-D225301,DARAJAT,E530-301010502-D225301,E530-30101050298-D225301,53020.160000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020224-D225301,DARAJAT,E530-301010202-D225301,E530-30101020224-D225301,51925.490000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010211-D225301,DARAJAT,E530-301010102-D225301,E530-30101010211-D225301,51885.170000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037404-D245401|E540-30203740460-D245401,SALAK,E540-302037404-D245401,E540-30203740460-D245401,51256.190000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010161-D245401|E540-301016102-D245401|E540-30101610205-D245401,SALAK,E540-301016102-D245401,E540-30101610205-D245401,41503.930000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030224-D225301,DARAJAT,E530-301010302-D225301,E530-30101030224-D225301,41017.020000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040224-D225301,DARAJAT,E530-301010402-D225301,E530-30101040224-D225301,40807.210000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010224-D225301,DARAJAT,E530-301010102-D225301,E530-30101010224-D225301,40772.110000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012978-D235301|E530-301297856-D235301|E530-30129785627-D235301,DARAJAT,E530-301297856-D235301,E530-30129785627-D235301,37958.170000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050224-D225301,DARAJAT,E530-301010502-D225301,E530-30101050224-D225301,36907.270000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030214-D225301,DARAJAT,E530-301010302-D225301,E530-30101030214-D225301,35818.980000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040213-D225301,DARAJAT,E530-301010402-D225301,E530-30101040213-D225301,34905.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050211-D225301,DARAJAT,E530-301010502-D225301,E530-30101050211-D225301,34670.490000,campaign,default_for_shared_or_unknown_scope
