classification_key,field,wbs_code_lv5,wbs_lvl2,wbs_lvl3,wbs_lvl4,wbs_lvl5,classification,classification_confidence,classification_rule_id,classification_rule_text,recommended_allocation_basis,include_for_modeling_initial,review_status,review_notes,supporting_row_count,supporting_cost_total
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020215-D225301,DARAJAT,E530-30101020215-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020215-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,60329.680000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020216-D225301,DARAJAT,E530-30101020216-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020216-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,80498.530000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020217-D225301,DARAJAT,E530-30101020217-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020217-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,16329.480000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020220-D225301,DARAJAT,E530-30101020220-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020220-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,8354.050000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020224-D225301,DARAJAT,E530-30101020224-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020224-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,51925.490000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020247-D225301,DARAJAT,E530-30101020247-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020247-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,0.000000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020294-D225301,DARAJAT,E530-30101020294-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020294-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,32029.560000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020295-D225301,DARAJAT,E530-30101020295-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020295-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,0.000000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020296-D225301,DARAJAT,E530-30101020296-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020296-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,0.000000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020297-D225301,DARAJAT,E530-30101020297-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020297-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,7619.820000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020298-D225301,DARAJAT,E530-30101020298-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020298-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,55784.640000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010261-D225301|E530-30101026101-D225301,DARAJAT,E530-30101026101-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010261-D225301,E530-30101026101-D225301,well_tied,high,R1_TAG_WELL,Tag_Well_or_Pad=Well indicates direct well attribution.,direct_to_well,yes,approved_auto,,1,319725.930000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010261-D225301|E530-30101026102-D225301,DARAJAT,E530-30101026102-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010261-D225301,E530-30101026102-D225301,well_tied,high,R1_TAG_WELL,Tag_Well_or_Pad=Well indicates direct well attribution.,direct_to_well,yes,approved_auto,,1,55296.040000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010261-D225301|E530-30101026118-D225301,DARAJAT,E530-30101026118-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010261-D225301,E530-30101026118-D225301,well_tied,high,R1_TAG_WELL,Tag_Well_or_Pad=Well indicates direct well attribution.,direct_to_well,yes,approved_auto,,1,587193.810000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010261-D225301|E530-30101026193-D225301,DARAJAT,E530-30101026193-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010261-D225301,E530-30101026193-D225301,well_tied,high,R1_TAG_WELL,Tag_Well_or_Pad=Well indicates direct well attribution.,direct_to_well,yes,approved_auto,,1,21580.530000
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010301-D225301|E530-30101030160-D225301,DARAJAT,E530-30101030160-D225301,E530-30101-D225301,E530-3010103-D225301,E530-301010301-D225301,E530-30101030160-D225301,well_tied,high,R1_TAG_WELL,Tag_Well_or_Pad=Well indicates direct well attribution.,direct_to_well,yes,approved_auto,,1,26370.440000
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030204-D225301,DARAJAT,E530-30101030204-D225301,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030204-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,974.000000
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030205-D225301,DARAJAT,E530-30101030205-D225301,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030205-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,838855.140000
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030207-D225301,DARAJAT,E530-30101030207-D225301,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030207-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,305156.590000
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030208-D225301,DARAJAT,E530-30101030208-D225301,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030208-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,151482.500000
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030209-D225301,DARAJAT,E530-30101030209-D225301,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030209-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,475803.330000
