field,campaign_canonical,campaign_code,campaign_raw,campaign_year,well_raw,well_canonical,level_2,level_3,level_4,level_5,pricing_basis,unit_price_basis,quantity_value,unit_price_usd,actual_cost_usd,actual_depth_ft,actual_days,npt_days,active_operational_days,data_quality_flag,source_workbook,source_sheet,source_row_key
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-46OH,DRJ-46,Drilling Cost,Well Cost,Material - LL,Well Equipment Surface,depth_rate,ft_md,5836.000000,7.563235,44139.040000,5836.000000,40.687500,0.083333,40.604167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,154
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-47OH,DRJ-47,Drilling Cost,Well Cost,Material - LL,Well Equipment Surface,depth_rate,ft_md,5902.000000,7.301720,43094.750000,5902.000000,25.000000,0.125000,24.875000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,155
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-48,DRJ-48,Drilling Cost,Well Cost,Material - LL,Well Equipment Surface,depth_rate,ft_md,5399.500000,8.049945,43465.680000,5399.500000,21.479167,0.052083,21.427083,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,156
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-44OH,DRJ-44,Drilling Cost,Well Cost,Services,"Bits, Reamer and Core heads",active_day_rate,active_operational_day,24.895833,5437.054466,135360.000000,5860.000000,24.937500,0.041667,24.895833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,157
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-45OH,DRJ-45,Drilling Cost,Well Cost,Services,"Bits, Reamer and Core heads",active_day_rate,active_operational_day,63.968750,5032.797890,321941.790000,5977.000000,65.302083,1.333333,63.968750,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,158
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-46OH,DRJ-46,Drilling Cost,Well Cost,Services,"Bits, Reamer and Core heads",active_day_rate,active_operational_day,40.604167,4157.828678,168825.170000,5836.000000,40.687500,0.083333,40.604167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,159
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-47OH,DRJ-47,Drilling Cost,Well Cost,Services,"Bits, Reamer and Core heads",active_day_rate,active_operational_day,24.875000,4250.725628,105736.800000,5902.000000,25.000000,0.125000,24.875000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,160
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-48,DRJ-48,Drilling Cost,Well Cost,Services,"Bits, Reamer and Core heads",active_day_rate,active_operational_day,21.427083,6014.934464,128882.500000,5399.500000,21.479167,0.052083,21.427083,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,161
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-44OH,DRJ-44,Drilling Cost,Well Cost,Services,Casing Installation,active_day_rate,active_operational_day,24.895833,2144.923209,53399.650000,5860.000000,24.937500,0.041667,24.895833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,162
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-45OH,DRJ-45,Drilling Cost,Well Cost,Services,Casing Installation,active_day_rate,active_operational_day,63.968750,2312.146321,147905.110000,5977.000000,65.302083,1.333333,63.968750,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,163
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-46OH,DRJ-46,Drilling Cost,Well Cost,Services,Casing Installation,active_day_rate,active_operational_day,40.604167,551.636240,22398.730000,5836.000000,40.687500,0.083333,40.604167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,164
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-47OH,DRJ-47,Drilling Cost,Well Cost,Services,Casing Installation,active_day_rate,active_operational_day,24.875000,1736.688241,43200.120000,5902.000000,25.000000,0.125000,24.875000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,165
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-48,DRJ-48,Drilling Cost,Well Cost,Services,Casing Installation,active_day_rate,active_operational_day,21.427083,5226.492566,111988.490000,5399.500000,21.479167,0.052083,21.427083,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,166
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-44OH,DRJ-44,Drilling Cost,Well Cost,Services,"Cement, Cementing & Pump Fees",active_day_rate,active_operational_day,24.895833,15869.446907,395083.100000,5860.000000,24.937500,0.041667,24.895833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,167
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-45OH,DRJ-45,Drilling Cost,Well Cost,Services,"Cement, Cementing & Pump Fees",active_day_rate,active_operational_day,63.968750,14534.998886,929785.710000,5977.000000,65.302083,1.333333,63.968750,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,168
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-46OH,DRJ-46,Drilling Cost,Well Cost,Services,"Cement, Cementing & Pump Fees",active_day_rate,active_operational_day,40.604167,19912.534839,808531.890000,5836.000000,40.687500,0.083333,40.604167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,169
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-47OH,DRJ-47,Drilling Cost,Well Cost,Services,"Cement, Cementing & Pump Fees",active_day_rate,active_operational_day,24.875000,22832.458291,567957.400000,5902.000000,25.000000,0.125000,24.875000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,170
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-48,DRJ-48,Drilling Cost,Well Cost,Services,"Cement, Cementing & Pump Fees",active_day_rate,active_operational_day,21.427083,19544.604368,418783.860000,5399.500000,21.479167,0.052083,21.427083,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,171
